Country Name,Indicator Name,2015,2016,2017
Afghanistan,"Taxes on income, profits and capital gains (% of revenue)",5.998665107872631,3.9694848231868303,4.53061562295213
Albania,"Taxes on income, profits and capital gains (% of revenue)",14.919001918127698,11.481719355389302,15.530392267832301
Algeria,"Taxes on income, profits and capital gains (% of revenue)",,,
American Samoa,"Taxes on income, profits and capital gains (% of revenue)",,,
Andorra,"Taxes on income, profits and capital gains (% of revenue)",,,
Angola,"Taxes on income, profits and capital gains (% of revenue)",40.247202765295604,42.4108798716178,39.413852761160996
Antigua and Barbuda,"Taxes on income, profits and capital gains (% of revenue)",,,
Argentina,"Taxes on income, profits and capital gains (% of revenue)",15.157971390293,12.379874105366198,12.9299128513563
Armenia,"Taxes on income, profits and capital gains (% of revenue)",35.667560320011795,39.8486936106714,36.946850213876296
Aruba,"Taxes on income, profits and capital gains (% of revenue)",,,
Australia,"Taxes on income, profits and capital gains (% of revenue)",64.9988060976989,64.20520595187351,64.3963635447422
Austria,"Taxes on income, profits and capital gains (% of revenue)",28.734876943844398,26.451826577793497,27.0399160456628
Azerbaijan,"Taxes on income, profits and capital gains (% of revenue)",17.293334121707,14.8286288411594,13.4814928906111
"Bahamas, The","Taxes on income, profits and capital gains (% of revenue)",,,
Bahrain,"Taxes on income, profits and capital gains (% of revenue)",,,
Bangladesh,"Taxes on income, profits and capital gains (% of revenue)",26.855357583723997,25.1708657196462,
Barbados,"Taxes on income, profits and capital gains (% of revenue)",29.661037364218,,
Belarus,"Taxes on income, profits and capital gains (% of revenue)",2.9207849339373304,2.4010897475255297,2.9331006348086297
Belgium,"Taxes on income, profits and capital gains (% of revenue)",34.9918456807767,32.6368337102319,33.9609707930871
Belize,"Taxes on income, profits and capital gains (% of revenue)",25.7194318788486,24.9549396441163,24.3705166731565
Benin,"Taxes on income, profits and capital gains (% of revenue)",,,
Bermuda,"Taxes on income, profits and capital gains (% of revenue)",,,
Bhutan,"Taxes on income, profits and capital gains (% of revenue)",27.4397527923407,24.758627550183398,24.4887905651168
Bolivia,"Taxes on income, profits and capital gains (% of revenue)",,,
Bosnia and Herzegovina,"Taxes on income, profits and capital gains (% of revenue)",6.79875799309685,7.473281009677629,8.22683714661225
Botswana,"Taxes on income, profits and capital gains (% of revenue)",28.4386935992956,29.276919969454497,24.4595133212328
Brazil,"Taxes on income, profits and capital gains (% of revenue)",20.7688374843238,22.1950298757405,22.5992697415851
British Virgin Islands,"Taxes on income, profits and capital gains (% of revenue)",,,
Brunei Darussalam,"Taxes on income, profits and capital gains (% of revenue)",,,
Bulgaria,"Taxes on income, profits and capital gains (% of revenue)",15.3588265101105,15.926087523499902,16.941668996324697
Burkina Faso,"Taxes on income, profits and capital gains (% of revenue)",18.3486425186301,20.2623183268345,20.4534516974507
Burundi,"Taxes on income, profits and capital gains (% of revenue)",,,
Cabo Verde,"Taxes on income, profits and capital gains (% of revenue)",18.8979799501867,17.2104240462819,19.479850234724697
Cambodia,"Taxes on income, profits and capital gains (% of revenue)",18.183675861279603,18.320376512388698,20.6702675859434
Cameroon,"Taxes on income, profits and capital gains (% of revenue)",27.595526875907996,24.04076536294,20.389275832458697
Canada,"Taxes on income, profits and capital gains (% of revenue)",54.0111395589094,54.54898911353029,54.83947918223121
Cayman Islands,"Taxes on income, profits and capital gains (% of revenue)",,,
Central African Republic,"Taxes on income, profits and capital gains (% of revenue)",7.67572260929893,6.27181170758605,
Chad,"Taxes on income, profits and capital gains (% of revenue)",,,
Channel Islands,"Taxes on income, profits and capital gains (% of revenue)",,,
Chile,"Taxes on income, profits and capital gains (% of revenue)",29.8299639891895,33.85449110769039,36.5514783039443
China,"Taxes on income, profits and capital gains (% of revenue)",20.6405207284472,21.232323217131103,
Colombia,"Taxes on income, profits and capital gains (% of revenue)",24.964923860137702,23.773044570271804,24.187142817597604
Comoros,"Taxes on income, profits and capital gains (% of revenue)",,,
"Congo, Dem. Rep.","Taxes on income, profits and capital gains (% of revenue)",,,
"Congo, Rep.","Taxes on income, profits and capital gains (% of revenue)",,,
Costa Rica,"Taxes on income, profits and capital gains (% of revenue)",15.512982860724499,15.7538385759637,17.4222333342509
