Country ISO3;Country Name;Indicator Id;Indicator;Subindicator Type;2015;2017
AGO;Angola;3524;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Value;2.595035637;
AGO;Angola;3525;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Rank;139;
AGO;Angola;3526;WEF Enabling environment subindex, 1-7 (best);Value;3.232427291;
AGO;Angola;3527;WEF Enabling environment subindex, 1-7 (best);Rank;136;
AGO;Angola;3528;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Value;3.207968496;
AGO;Angola;3529;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Rank;140;
AGO;Angola;3530;WEF Infrastructure subindex, 1-7 (best);Value;2.153808425;
AGO;Angola;3531;WEF Infrastructure subindex, 1-7 (best);Rank;134;
AGO;Angola;3532;WEF Natural and cultural resources subindex, 1-7 (best);Value;1.785938335;
AGO;Angola;3533;WEF Natural and cultural resources subindex, 1-7 (best);Rank;115;
AGO;Angola;3534;WEF Business environment, 1-7 (best);Value;3.033316307;
AGO;Angola;3535;WEF Business environment, 1-7 (best);Rank;136;
AGO;Angola;3536;WEF Safety and security pillar, 1-7 (best);Value;4.731842359;
AGO;Angola;3537;WEF Safety and security pillar, 1-7 (best);Rank;103;
AGO;Angola;3538;WEF Health and hygiene, 1-7 (best);Value;3.232495659;
AGO;Angola;3539;WEF Health and hygiene, 1-7 (best);Rank;123;
AGO;Angola;3540;WEF Human resources and labour market, 1-7 (best);Value;2.79037277;
AGO;Angola;3541;WEF Human resources and labour market, 1-7 (best);Rank;139;
AGO;Angola;3546;WEF Travel and Tourism ICT readiness, 1-7 (best);Value;2.374109359;
AGO;Angola;3547;WEF Travel and Tourism ICT readiness, 1-7 (best);Rank;125;
AGO;Angola;3548;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Value;2.670350016;
AGO;Angola;3549;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Rank;140;
AGO;Angola;3550;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Value;1.286017093;
AGO;Angola;3551;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Rank;141;
AGO;Angola;3552;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Value;5.462444256;
AGO;Angola;3553;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Rank;13;
AGO;Angola;3554;WEF Environmental sustainability, 1-7 (best);Value;3.413062618;
AGO;Angola;3555;WEF Environmental sustainability, 1-7 (best);Rank;120;
AGO;Angola;3556;WEF Air transport infrastructure, 1-7 (best);Value;1.957238798;
AGO;Angola;3557;WEF Air transport infrastructure, 1-7 (best);Rank;114;
AGO;Angola;3558;WEF Ground and port infrastructure, 1-7 (best);Value;2.066789685;
AGO;Angola;3559;WEF Ground and port infrastructure, 1-7 (best);Rank;140;
AGO;Angola;3560;WEF Tourist service infrastructure pillar, 1-7 (best);Value;2.437396791;
AGO;Angola;3561;WEF Tourist service infrastructure pillar, 1-7 (best);Rank;129;
AGO;Angola;3562;WEF Natural resources pillar, 1-7 (best);Value;2.335655327;
AGO;Angola;3563;WEF Natural resources pillar, 1-7 (best);Rank;106;
AGO;Angola;3564;WEF Cultural resources and business travel, 1-7 (best);Value;1.236221343;
AGO;Angola;3565;WEF Cultural resources and business travel, 1-7 (best);Rank;122;
ALB;Albania;3524;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Value;3.223817842;3.35165818
ALB;Albania;3525;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Rank;106;98
ALB;Albania;3526;WEF Enabling environment subindex, 1-7 (best);Value;4.683661331;4.809070115
ALB;Albania;3527;WEF Enabling environment subindex, 1-7 (best);Rank;69;67
ALB;Albania;3528;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Value;3.585833066;3.942848849
ALB;Albania;3529;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Rank;122;103
ALB;Albania;3530;WEF Infrastructure subindex, 1-7 (best);Value;3.038147027;2.990637695
ALB;Albania;3531;WEF Infrastructure subindex, 1-7 (best);Rank;90;85
ALB;Albania;3532;WEF Natural and cultural resources subindex, 1-7 (best);Value;1.587629941;1.66407606
ALB;Albania;3533;WEF Natural and cultural resources subindex, 1-7 (best);Rank;135;128
ALB;Albania;3534;WEF Business environment, 1-7 (best);Value;4.113678074;4.06559391
ALB;Albania;3535;WEF Business environment, 1-7 (best);Rank;93;109
ALB;Albania;3536;WEF Safety and security pillar, 1-7 (best);Value;5.338671668;
